feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_072215_01G000100	1	0.0330976310450305	0.0331978411574613	0.000669132096866657	1
TraesCAD_scaffold_124413_01G000100	1	0.0343803211605896	0.034228363556755	0.00118483918719552	1
TraesCAD_scaffold_006479_01G000200	1	0.0356577926856208	0.035541943053155	0.000917437666059226	1
TraesCAD_scaffold_111573_01G000200	1	0.0309729163530673	0.0310078602281472	0.00169995877335172	1
TraesCAD_scaffold_017313_01G000100	1	0.0349745055802106	0.0348571558522548	0.000875317722135555	1
TraesCAD_scaffold_071769_01G000200	1	0.0272180875168617	0.027359456137944	0.00144396817980737	1
TraesCAD_scaffold_013785_01G000100	1	0.0225164473312271	0.0228847242063926	0.0018794582063029	1
TraesCAD_scaffold_062078_01G000200	1	0.0356353688030707	0.0355012093167982	0.000744111834407307	1
TraesCAD_scaffold_088011_01G000400	1	0.0332845264971414	0.0332416531678096	0.00166371087308893	1
TraesCAD_scaffold_055844_01G000400	1	0.0359202721521286	0.0357717896143578	0.000678786414321265	1
TraesCAD_scaffold_041840_01G000200	1	0.0358853768759741	0.0357739897127447	0.000690951214454362	1
TraesCAD_scaffold_147751_01G000100	1	0.0352462453546789	0.0350906308353899	0.000928641721611118	1
TraesCAD_scaffold_021436_01G000200	1	0.0333438666031383	0.0332885343200995	0.000968406669513585	1
TraesCAD_scaffold_069845_01G000200	1	0.0354873020877264	0.0352268332638302	0.000796523022226018	1
TraesCAD_scaffold_051051_01G000100	1	0.0323913124826968	0.032414028052614	0.00118380397783301	1
TraesCAD_scaffold_129934_01G000100	1	0.0317042291850586	0.0317312712429507	0.000786661288205799	1
TraesCAD_scaffold_088595_01G000100	1	0.0353327283241061	0.0350803500555747	0.000967512428928627	1
TraesCAD_scaffold_074133_01G000100	1	0.0351108712410044	0.0348775674561044	0.000870497693895379	1
TraesCAD_scaffold_033782_01G000200	1	0.029466572475247	0.0293337044324512	0.00160489429324324	1
TraesCAD_scaffold_105396_01G000100	1	-0.0259859619855785	-0.0257367767663129	0.00200231535308925	1
TraesCAD_scaffold_071769_01G000600	1	0.0263697656656797	0.0265757217364272	0.00165661776778752	1
TraesCAD_scaffold_014507_01G000700	1	0.0274494180614752	0.0276184862340996	0.00218189649473	1
TraesCAD_scaffold_012476_01G000100	1	0.0337375953691677	0.0337052336993596	0.00147170713940117	1
TraesCAD_scaffold_003487_01G000100	1	0.032094209390391	0.0318923507953368	0.00164923951611651	1
TraesCAD_scaffold_039148_01G000100	1	0.0317009604882243	0.0315818193853878	0.00120074644577036	1
TraesCAD_scaffold_033501_01G000300	1	0.0154839618582614	0.0158875100996778	0.00253641572024177	1
TraesCAD_scaffold_070961_01G000100	1	0.03402722001955	0.0339973517953189	0.00248030290055065	1
TraesCAD_scaffold_031210_01G000100	1	0.0317316312319425	0.0315335153493169	0.00205391703390097	1
TraesCAD_scaffold_008186_01G000300	1	0.0348267267004433	0.0345188437022183	0.00118936628505277	1
TraesCAD_scaffold_002962_01G000300	1	0.0218720177557108	0.0219571543212884	0.00129597270049893	1
TraesCAD_scaffold_067157_01G000100	1	0.0319061821798466	0.0317740209246613	0.00129004908323557	1
TraesCAD_scaffold_014507_01G000600	1	0.0297372152713171	0.029764035814088	0.00153876331277585	1
TraesCAD_scaffold_064612_01G000200	1	0.031832912051245	0.0319527290150488	0.00238429899071938	1
TraesCAD_scaffold_037797_01G000200	1	0.0325121839166278	0.0325663424874929	0.00134021208154508	1
TraesCAD_scaffold_071769_01G000400	1	0.0288374137892221	0.0288779144433306	0.00171415411637996	1
TraesCAD_scaffold_042310_01G000100	1	0.0332225753258284	0.0331088351269395	0.000825639080578539	1
