feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_009934_01G000100	1	-0.00995115153891697	-0.00933707990498857	0.00429373691649144	0.995
TraesCAD_scaffold_000224_01G000800	1	0.00266226761478393	0.00245823088115934	0.00353751388011127	0.75
TraesCAD_scaffold_051182_01G000100	1	0.00169581929868691	0.00183224487991124	0.00143255760596572	0.9
TraesCAD_scaffold_000224_01G001400	1	0.00493021691928563	0.00484528508174064	0.000638803180168348	1
TraesCAD_scaffold_000243_01G002200	1	0.000273434892490999	0.000263647354787427	0.00167918231841562	0.535
TraesCAD_scaffold_115519_01G000100	1	-0.0171288891243124	-0.0166860575269866	0.00405774344654073	1
TraesCAD_scaffold_000250_01G001200	1	-0.00412944442617031	-0.00404467790779543	0.000748056679357094	1
TraesCAD_scaffold_000271_01G000300	1	-0.00396292651903573	-0.00378012659901835	0.00306935694305376	0.9
TraesCAD_scaffold_000277_01G000100	1	0.00899856286493129	0.00881597091255544	0.00158550651517982	1
TraesCAD_scaffold_078502_01G000100	1	-0.00857105288096683	-0.00832643809523407	0.00214846511241235	1
TraesCAD_scaffold_060353_01G000300	1	-0.00229838048421187	-0.0022792275815157	0.00103129221116684	0.995
TraesCAD_scaffold_011990_01G000200	1	0.00445176316558447	0.0044780760163652	0.000618338319983396	1
TraesCAD_scaffold_048789_01G000200	1	0.00112565318411902	0.000994545294601527	0.00255966806357783	0.67
TraesCAD_scaffold_000310_01G000500	1	-0.000276370469246304	-0.000171068316510081	0.00351742501366903	0.515
TraesCAD_scaffold_021666_01G000200	1	0.00692871864815895	0.00675815717628207	0.00331870890540548	0.955
TraesCAD_scaffold_000322_01G000200	1	-0.00411962074301053	-0.00389284568046085	0.00141464667874422	0.995
TraesCAD_scaffold_000327_01G000300	1	-0.00431101590147586	-0.0043787289537323	0.00164606980902002	1
TraesCAD_scaffold_000327_01G000400	1	0.000597374195005558	0.000672377743112544	0.00136144334901543	0.705
TraesCAD_scaffold_000332_01G000900	1	0.0151747660564955	0.0151308704811862	0.00234226991782056	1
TraesCAD_scaffold_000349_01G000500	1	-0.00186218649265588	-0.00175163946888798	0.00147311339371619	0.865
TraesCAD_scaffold_000354_01G000300	1	0.00396441903446276	0.00379895473019713	0.00316392683857644	0.885
TraesCAD_scaffold_000354_01G000400	1	-0.00485296453030557	-0.00456704622768183	0.00203967682713634	0.99
TraesCAD_scaffold_000355_01G000700	1	-0.00225612201972288	-0.00228957857427472	0.00135414848086813	0.96
TraesCAD_scaffold_000360_01G001100	1	0.00173193757744399	0.00193914434307197	0.0027625401172629	0.74
TraesCAD_scaffold_000367_01G000100	1	-0.00249867595340186	-0.00243879278279359	0.000653287039239361	1
TraesCAD_scaffold_000372_01G000100	1	0.00954124899273408	0.00930999722993452	0.00241579004638566	1
