pathway	pval	padj	log2err	ES	NES	size	leadingEdge
protein.degradation.ubiquitin.E1	0.902097902097902	1	0.0150298748621405	0.178878797989611	0.442032552805804	5	traesnor4d03g02474040;traesnor7a03g03998030;traesnor3d03g01890580;traesnor5b03g02895140;traesnor2b03g00913410
protein.degradation.ubiquitin.E3.RING	0.524475524475524	0.975639744870514	0.0434506826723125	0.401440106196451	0.992010215492148	5	traesnor3d03g01983340;traesnor1a03g00081070;traesnor4a03g02153090;traesnor3b03g01590150;traesnor7d03g04398770
protein.degradation.ubiquitin.proteasom	0.992007992007992	1	0.00409492237559551	0.13616305669627	0.45663383709429	40	traesnor6d03g03742630;traesnor2d03g01223800;traesnor2d03g01284530;traesnor6d03g03717330;traesnor5d03g03191870;traesnor4d03g02549130;traesnorun03g04660470;traesnor7d03g04363090;traesnor3b03g01757120;traesnor5d03g03193480;traesnor6b03g03579860;traesnor5d03g03177060;traesnor7d03g04530390;traesnor6d03g03710240;traesnor4d03g02560460;traesnor2b03g00845300;traesnor4b03g02310780;traesnor7d03g04345630;traesnor2d03g01290880;traesnor7d03g04476240;traesnor6a03g03298680;traesnor2b03g00959560;traesnor7d03g04420310;traesnor4a03g02163220;traesnor7d03g04354890;traesnor2b03g00991760;traesnor6a03g03307220;traesnor2d03g01122030;traesnor2a03g00597750;traesnor1b03g00299390;traesnor4b03g02257240;traesnor7a03g03869940;traesnor4d03g02495360;traesnor1d03g00511430;traesnor2d03g01235210
protein.degradation.ubiquitin.ubiquitin	0.878121878121878	1	0.0169971052149879	0.202018241800893	0.512204395866408	6	traesnor5d03g03121990;traesnor3d03g01986550;traesnor3d03g01986610;traesnor2d03g01142950;traesnor6d03g03735840;traesnor5a03g02790140
protein.folding	0.892107892107892	1	0.0158662282151999	0.209103639350102	0.709744539651846	44	traesnor6d03g03802950;traesnor6b03g03621040;traesnor2b03g00848970;traesnor7d03g04399400;traesnor7b03g04141290;traesnor7d03g04418060;traesnor1a03g00071920;traesnor2d03g01144670;traesnor7b03g04186600;traesnor7a03g03956510;traesnor6a03g03327420;traesnor7d03g04427130;traesnor4a03g02196800;traesnor5d03g03094740;traesnor1d03g00474970;traesnor2b03g00891370;traesnor4d03g02564010;traesnor5a03g02709050;traesnor2a03g00695430
protein.postranslational modification	1	1	0	0.0782100598013578	0.273596601758279	60	traesnor7d03g04422250;traesnor3d03g01868050;traesnor3b03g01686130;traesnor1a03g00174600;traesnor1d03g00506120;traesnor1d03g00561420;traesnor2b03g00922250;traesnor7b03g04166670;traesnor1a03g00169470;traesnor6d03g03805160;traesnor6d03g03751070;traesnor7b03g04197420;traesnor3d03g01932840;traesnor5d03g03145160;traesnor2d03g01201890;traesnor5d03g03103840;traesnor7b03g04211590;traesnor5d03g03233460;traesnor4d03g02514310;traesnor4a03g02088050;traesnor5d03g03210990;traesnor7d03g04512280;traesnor1b03g00321320;traesnor5d03g03069420;traesnor4d03g02528760;traesnor3d03g01958080;traesnor1a03g00117480;traesnor5d03g03202680;traesnor7d03g04471750;traesnor2d03g01226060;traesnor1a03g00042390;traesnor3d03g01929500;traesnor1b03g00307660;traesnor2d03g01220550;traesnor4b03g02387050;traesnor2b03g00962070;traesnor5a03g02612440;traesnor5b03g02889020;traesnor6b03g03668630;traesnor5d03g03122580;traesnor7d03g04523810;traesnor2d03g01234200;traesnor1d03g00517260;traesnor5d03g03263310;traesnor1b03g00341760;traesnor2d03g01148510;traesnor3d03g01908860;traesnor2b03g00898950;traesnor5d03g03213580;traesnor5b03g02968930;traesnor7d03g04469540;traesnor5d03g03260690;traesnor1d03g00584660;traesnor2d03g01151340;traesnor2d03g01291970;traesnor5d03g03133720;traesnor7d03g04344640
protein.synthesis.elongation	0.280719280719281	0.889827153978097	0.0730744399126987	0.376027537128686	1.15972858484312	21	traesnor6d03g03759170;traesnor4d03g02469520;traesnor5b03g02857960;traesnor5d03g03097210;traesnor1b03g00314010;traesnor7a03g04003080;traesnor5a03g02624150;traesnor2a03g00760290;traesnor2b03g00885310;traesnor2d03g01137280;traesnor5d03g03257800;traesnor6b03g03576650
protein.synthesis.initiation	0.942057942057942	1	0.0113146012252547	0.186964284327499	0.621780799078184	37	traesnor3d03g01953280;traesnor6d03g03830780;traesnor1b03g00262310;traesnor1b03g00406890;traesnor2b03g00922480;traesnor3b03g01601180
protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L7	0.335664335664336	0.914956011730205	0.0642140881844605	0.48793942373139	1.2057611718696	5	traesnor2a03g00777170;traesnor2b03g01030340;traesnor5b03g03015890;traesnor5d03g03232700
protein.synthesis.ribosome biogenesis.Pre-rRNA processing and modifications.snoRNPs	0.228771228771229	0.817735456033328	0.0838361057159929	0.507403821147589	1.31333607686658	7	traesnor2d03g01134860;traesnor7d03g04434310;traesnor4d03g02488030;traesnor2a03g00787120;traesnor2a03g00636120
