"gene_id","amplitude","regulated","rna_responds","lrt_fdr","lrt_p","archetype","t_half_M1_h","identifiable"
"TraesNOR6B03G03505450",11.9480003960488,FALSE,FALSE,0.981639376583058,0.952958759003289,"unchanged",432,TRUE
"TraesNOR6B03G03507860",1.21321588485365,FALSE,TRUE,0.988511731650429,0.977398399524876,"kinetics_limited",432,FALSE
"TraesNOR6B03G03508170",3.13192165147376,FALSE,FALSE,0.036088026925826,0.00884188137899672,"protein_only",12,TRUE
"TraesNOR6B03G03508710",2.5177660646182,TRUE,TRUE,2.25266843281531e-06,1.76405901697497e-07,"amplified",12,TRUE
"TraesNOR6B03G03511350",3.59282064225303,FALSE,FALSE,0.175040909545166,0.063345876743715,"protein_only",34.0629278088396,TRUE
"TraesNOR6B03G03514870",59.7163301928258,FALSE,TRUE,0.126338329344885,0.0414842275460815,"concordant",432,TRUE
"TraesNOR6B03G03515480",-0.322518037684184,FALSE,TRUE,0.0599439779254299,0.016383215521391,"kinetics_limited",32.5523197256803,FALSE
"TraesNOR6B03G03516110",14.6802285369786,FALSE,TRUE,0.239423425304786,0.0943956671971186,"concordant",432,TRUE
"TraesNOR6B03G03518570",10.6728625160318,TRUE,TRUE,5.43985491600268e-35,5.48308694770574e-37,"amplified",21.6412158923213,TRUE
"TraesNOR6B03G03519310",0.123338308689774,FALSE,TRUE,0.843295288383425,0.648090490731625,"kinetics_limited",12,FALSE
"TraesNOR6B03G03519470",27.7101160965593,FALSE,FALSE,0.644384612413366,0.375178001913176,"unchanged",314.473116920668,TRUE
"TraesNOR6B03G03521080",0.120961921453497,FALSE,TRUE,0.818299801756372,0.604326854950916,"kinetics_limited",12,FALSE
"TraesNOR6B03G03523340",2.29841201029501,FALSE,TRUE,0.801551296170956,0.578414845769352,"concordant",110.785468126105,TRUE
"TraesNOR6B03G03523600",0.520978359532952,FALSE,TRUE,0.854103775809784,0.666526212693693,"kinetic_lag",12,TRUE
"TraesNOR6B03G03525880",0.142479068699197,FALSE,TRUE,0.79141438342045,0.563919449285222,"kinetics_limited",12,FALSE
"TraesNOR6B03G03526640",1.15875903086275,FALSE,TRUE,0.912287145903934,0.78426539405139,"concordant",12,TRUE
"TraesNOR6B03G03527010",-24.8448082046721,TRUE,TRUE,0.0120211681673123,0.00235576681859909,"anticorrelated",432,FALSE
"TraesNOR6B03G03529900",-0.691520001110467,FALSE,TRUE,0.398862191763064,0.185012061424503,"kinetics_limited",12,FALSE
"TraesNOR6B03G03530150",-177.902231369744,FALSE,FALSE,1.70533122596066e-11,7.73497784211658e-13,"protein_only",432,FALSE
"TraesNOR6B03G03530310",0.26948103132779,FALSE,TRUE,0.832302119219519,0.627412859400021,"kinetics_limited",12,FALSE
"TraesNOR6B03G03533880",0.754132990645691,FALSE,TRUE,0.646294237737493,0.377078049154847,"concordant",12,TRUE
"TraesNOR6B03G03535510",9.89571535582106,FALSE,TRUE,0.832758548406698,0.629016322006932,"concordant",432,TRUE
"TraesNOR6B03G03536010",1.05838169722601,FALSE,TRUE,0.98946917922871,0.9798367129728,"kinetic_lag",40.839658393515,TRUE
