"uid","feature","block","cluster","comp","sign"
"prot__TraesCAD_scaffold_046593_01G000100","TraesCAD_scaffold_046593_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018504_01G000500","TraesCAD_scaffold_018504_01G000500","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_077847_01G000100","TraesCAD_scaffold_077847_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018560_01G000200","TraesCAD_scaffold_018560_01G000200","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_018564_01G000500","TraesCAD_scaffold_018564_01G000500","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_092869_01G000100","TraesCAD_scaffold_092869_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018604_01G000200","TraesCAD_scaffold_018604_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_047153_01G000200","TraesCAD_scaffold_047153_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018654_01G001000","TraesCAD_scaffold_018654_01G001000","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_040289_01G000300","TraesCAD_scaffold_040289_01G000300","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018667_01G000600","TraesCAD_scaffold_018667_01G000600","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_083347_01G000200","TraesCAD_scaffold_083347_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018690_01G000300","TraesCAD_scaffold_018690_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_116732_01G000100","TraesCAD_scaffold_116732_01G000100","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_022541_01G000200","TraesCAD_scaffold_022541_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018760_01G000700","TraesCAD_scaffold_018760_01G000700","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018774_01G000200","TraesCAD_scaffold_018774_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_091955_01G000200","TraesCAD_scaffold_091955_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018816_01G000100","TraesCAD_scaffold_018816_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018818_01G000400","TraesCAD_scaffold_018818_01G000400","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018883_01G000200","TraesCAD_scaffold_018883_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018883_01G000500","TraesCAD_scaffold_018883_01G000500","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018902_01G000500","TraesCAD_scaffold_018902_01G000500","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018969_01G000100","TraesCAD_scaffold_018969_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_018977_01G000100","TraesCAD_scaffold_018977_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_018989_01G000200","TraesCAD_scaffold_018989_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_018994_01G000100","TraesCAD_scaffold_018994_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_032597_01G000100","TraesCAD_scaffold_032597_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_034526_01G000100","TraesCAD_scaffold_034526_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_019043_01G000100","TraesCAD_scaffold_019043_01G000100","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_101213_01G000200","TraesCAD_scaffold_101213_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_019065_01G000400","TraesCAD_scaffold_019065_01G000400","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_019107_01G000600","TraesCAD_scaffold_019107_01G000600","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_019110_01G000300","TraesCAD_scaffold_019110_01G000300","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_019111_01G000100","TraesCAD_scaffold_019111_01G000100","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_019119_01G000300","TraesCAD_scaffold_019119_01G000300","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_019141_01G000200","TraesCAD_scaffold_019141_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_019151_01G000200","TraesCAD_scaffold_019151_01G000200","protein","C1+",1,"positive"
