"uid","feature","block","cluster","comp","sign"
"prot__TraesNOR4B03G02347640","TraesNOR4B03G02347640","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02347810","TraesNOR4B03G02347810","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02350030","TraesNOR4B03G02350030","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02350280","TraesNOR4B03G02350280","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02350700","TraesNOR4B03G02350700","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02353100","TraesNOR4B03G02353100","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02353140","TraesNOR4B03G02353140","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02353230","TraesNOR4B03G02353230","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02353790","TraesNOR4B03G02353790","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02355730","TraesNOR4B03G02355730","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02356160","TraesNOR4B03G02356160","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02356810","TraesNOR4B03G02356810","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02357470","TraesNOR4B03G02357470","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02360210","TraesNOR4B03G02360210","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02362330","TraesNOR4B03G02362330","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02366200","TraesNOR4B03G02366200","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02368410","TraesNOR4B03G02368410","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02369410","TraesNOR4B03G02369410","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02371100","TraesNOR4B03G02371100","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02374220","TraesNOR4B03G02374220","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02374380","TraesNOR4B03G02374380","protein","C2-",2,"negative"
"prot__TraesNOR4B03G02378090","TraesNOR4B03G02378090","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02378230","TraesNOR4B03G02378230","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02379100","TraesNOR4B03G02379100","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02379350","TraesNOR4B03G02379350","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02380770","TraesNOR4B03G02380770","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02381050","TraesNOR4B03G02381050","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02381910","TraesNOR4B03G02381910","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02382270","TraesNOR4B03G02382270","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02382300","TraesNOR4B03G02382300","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02382850","TraesNOR4B03G02382850","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02383210","TraesNOR4B03G02383210","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02385680","TraesNOR4B03G02385680","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02387050","TraesNOR4B03G02387050","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02388340","TraesNOR4B03G02388340","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02389180","TraesNOR4B03G02389180","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02392900","TraesNOR4B03G02392900","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02394760","TraesNOR4B03G02394760","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02398310","TraesNOR4B03G02398310","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02398630","TraesNOR4B03G02398630","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02401460","TraesNOR4B03G02401460","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02401520","TraesNOR4B03G02401520","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02402760","TraesNOR4B03G02402760","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02402970","TraesNOR4B03G02402970","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02403150","TraesNOR4B03G02403150","protein","C2-",2,"negative"
"prot__TraesNOR4B03G02405810","TraesNOR4B03G02405810","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02406400","TraesNOR4B03G02406400","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02408580","TraesNOR4B03G02408580","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02416620","TraesNOR4B03G02416620","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02418010","TraesNOR4B03G02418010","protein","C1+",1,"positive"
"prot__TraesNOR4B03G02421880","TraesNOR4B03G02421880","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02422220","TraesNOR4B03G02422220","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02423510","TraesNOR4B03G02423510","protein","C1+",1,"positive"
